UTC format,success percent,,,,,,,,,,,,,,,,,,,
"Date.UTC(2001,11,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1992,9,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1980,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1997,11,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1980,11,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1981,10,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2001,7,0)",0.857142857,,,,,,,,,,,,,,,,,,,
"Date.UTC(2009,11,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1984,8,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1986,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1984,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2011,7,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1988,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2010,2,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1998,4,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1982,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1980,3,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1995,12,0)",0.666666667,,,,,,,,,,,,,,,,,,,
"Date.UTC(1994,9,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1996,11,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2009,7,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1987,8,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1993,5,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1974,6,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1993,3,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2010,5,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1990,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2011,6,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1982,9,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1985,4,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1981,9,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1991,8,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1889,7,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1978,8,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1992,3,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1986,10,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1991,2,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1995,7,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1993,11,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1993,8,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1993,2,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2012,6,0)",0,,,,,,,,,,,,,,,,,,,
"Date.UTC(1989,8,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1989,3,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2012,3,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2010,6,0)",0.666666667,,,,,,,,,,,,,,,,,,,
"Date.UTC(2009,9,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1867,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1982,11,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1982,4,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1994,12,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2009,12,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1986,6,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1991,12,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1993,10,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1987,2,0)",1,,,,,,,,,,,,,,,,,,,
end,end,,,,,,,,,,,,,,,,,,,
